1,1,Idly,20.0,Veg,Idly is soft and healthy,1
1,2,Dosa,70.0,Veg,Crispy dosa tastes amazingly fresh,1
1,3,Poori,30.0,Veg,Poori makes breakfast feel special,1
1,4,Vada,10.0,Veg,Everyone enjoys freshly fried vada,1
1,5,Chicken Curry,120.0,Non Veg,Aromatic chicken kolambu enhances meals,1
1,6,Egg Curry,100.0,Non Veg,Everyone enjoys flavorful egg curry,1
2,7,Coffee,15.0,Drinks,Coffee makes mornings feel alive,1
2,8,Tea,15.0,Drinks,Hot tea refreshes the mind,1
2,9,Butter Biscuit,10.0,Snacks,Tea suits well with biscuits,1
2,10,Cold Coffee,100.0,Drinks,Smooth cold coffee energizes me,1
